PERP_RACE,PERP_SEX,PERP_AGE_GROUP,STATISTICAL_MURDER_FLAG
(null),(null),(null),14.636283961437336
AMERICAN INDIAN/ALASKAN NATIVE,F,18-24,0.0
AMERICAN INDIAN/ALASKAN NATIVE,M,25-44,0.0
ASIAN / PACIFIC ISLANDER,F,18-24,0.0
ASIAN / PACIFIC ISLANDER,F,25-44,75.0
ASIAN / PACIFIC ISLANDER,M,18-24,33.33333333333333
ASIAN / PACIFIC ISLANDER,M,25-44,28.39506172839506
ASIAN / PACIFIC ISLANDER,M,45-64,50.0
ASIAN / PACIFIC ISLANDER,M,<18,28.57142857142857
ASIAN / PACIFIC ISLANDER,M,UNKNOWN,0.0
BLACK,F,18-24,21.50537634408602
BLACK,F,25-44,28.47222222222222
BLACK,F,45-64,50.0
BLACK,F,<18,30.76923076923077
BLACK,F,UNKNOWN,0.0
BLACK,M,1020,0.0
BLACK,M,1028,0.0
BLACK,M,18-24,20.681970135948294
BLACK,M,25-44,26.77165354330709
BLACK,M,45-64,32.71028037383177
BLACK,M,65+,36.666666666666664
BLACK,M,<18,16.0392798690671
BLACK,M,UNKNOWN,1.2175324675324677
BLACK,U,18-24,0.0
BLACK,U,25-44,33.33333333333333
BLACK,U,<18,0.0
BLACK,U,UNKNOWN,0.0
BLACK HISPANIC,F,18-24,11.76470588235294
BLACK HISPANIC,F,25-44,14.285714285714285
BLACK HISPANIC,F,45-64,0.0
BLACK HISPANIC,F,65+,0.0
BLACK HISPANIC,F,<18,50.0
BLACK HISPANIC,F,UNKNOWN,0.0
BLACK HISPANIC,M,18-24,19.901315789473685
BLACK HISPANIC,M,25-44,22.96137339055794
BLACK HISPANIC,M,45-64,36.17021276595745
BLACK HISPANIC,M,65+,25.0
BLACK HISPANIC,M,<18,18.75
BLACK HISPANIC,M,UNKNOWN,2.197802197802198
BLACK HISPANIC,U,18-24,0.0
UNKNOWN,F,18-24,0.0
UNKNOWN,F,UNKNOWN,0.0
UNKNOWN,M,18-24,7.142857142857142
UNKNOWN,M,25-44,5.357142857142857
UNKNOWN,M,45-64,60.0
UNKNOWN,M,65+,0.0
UNKNOWN,M,<18,7.142857142857142
UNKNOWN,M,UNKNOWN,0.904977375565611
UNKNOWN,U,18-24,0.0
UNKNOWN,U,25-44,0.0
UNKNOWN,U,<18,0.0
UNKNOWN,U,UNKNOWN,6.284916201117319
WHITE,F,18-24,20.0
WHITE,F,25-44,50.0
WHITE,F,45-64,100.0
WHITE,F,<18,0.0
WHITE,M,18-24,29.78723404255319
WHITE,M,25-44,36.76470588235294
WHITE,M,45-64,50.0
WHITE,M,65+,55.55555555555556
WHITE,M,<18,0.0
WHITE,M,UNKNOWN,0.0
WHITE HISPANIC,F,18-24,18.6046511627907
WHITE HISPANIC,F,25-44,34.375
WHITE HISPANIC,F,45-64,0.0
WHITE HISPANIC,F,<18,60.0
WHITE HISPANIC,F,UNKNOWN,0.0
WHITE HISPANIC,M,18-24,23.645320197044335
WHITE HISPANIC,M,224,0.0
WHITE HISPANIC,M,25-44,27.43362831858407
WHITE HISPANIC,M,45-64,33.6
WHITE HISPANIC,M,65+,27.27272727272727
WHITE HISPANIC,M,940,0.0
WHITE HISPANIC,M,<18,24.894514767932492
WHITE HISPANIC,M,UNKNOWN,0.0
