PRECINCT,count
75,1628
73,1500
67,1259
44,1076
79,1045
47,1006
46,972
40,947
42,890
48,841
113,834
77,821
81,821
43,796
32,663
103,605
52,604
120,597
71,595
83,520
41,519
23,505
101,502
25,494
105,488
69,484
70,479
114,397
60,383
49,368
28,353
34,335
90,328
88,294
63,292
33,242
30,234
106,233
102,229
45,195
115,185
76,179
100,178
110,174
50,162
61,157
26,157
84,131
109,123
7,120
72,117
121,114
9,114
24,113
104,108
107,105
94,87
108,75
10,74
62,72
5,67
78,65
122,63
13,61
14,61
66,53
20,43
18,38
68,36
123,33
6,28
1,25
19,24
112,23
111,12
17,10
22,1
